,event_id,division,round,team1,team2,score1,score2,match_link
0,8098,Pro X-Ball,Finals,Tampa Bay Damage,San Antonio X-Factor,4,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=4&GID=0
1,8098,Pro X-Ball,Ocho-Finals,Tampa Bay Damage,Baltimore Revo,6,0,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=0
2,8098,Pro X-Ball,Ocho-Finals,Houston Heat,Austin Notorious,6,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=1
3,8098,Pro X-Ball,Semi-Finals,San Antonio X-Factor,San Diego Dynasty,4,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=3&GID=0
4,8098,Pro X-Ball,Semi-Finals,Tampa Bay Damage,Houston Heat,3,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=3&GID=1
5,8098,Pro X-Ball,Quarter-Finals,Houston Heat,ac DIESEL,6,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=3
6,8098,Pro X-Ball,Quarter-Finals,Tampa Bay Damage,New Orleans Hurricanes,3,1,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=2
7,8098,Pro X-Ball,Quarter-Finals,San Antonio X-Factor,New York Xtreme,4,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=1
8,8098,Pro X-Ball,Quarter-Finals,San Diego Dynasty,Edmonton Impact,5,4,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=0
9,8098,Division 4 X-Ball,Semi-Finals,Immortal Kings,New York Payload ,3,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=3&GID=2001
10,8098,Division 4 X-Ball,Semi-Finals,Baltimore Braves,Jackpot,2,1,/cgi-bin/showgame.cgi?EID=8098&size=255&round=3&GID=2000
11,8098,Division 4 X-Ball,Finals,Baltimore Braves,Immortal Kings,3,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=4&GID=2000
12,8098,Division 4 X-Ball,Finals,Jackpot,New York Payload ,4,1,/cgi-bin/showgame.cgi?EID=8098&size=255&round=4&GID=2001
13,8098,Division 4 X-Ball,Ocho-Finals,Voodoo ,Crushers Xball,4,0,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=2000
14,8098,Division 4 X-Ball,Ocho-Finals,Noobies,HootiesPB NRG,5,1,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=2003
15,8098,Division 4 X-Ball,Ocho-Finals,New York Payload ,Brooklyn CASH,6,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=2002
16,8098,Division 4 X-Ball,Ocho-Finals,PR JESTERS,TROPIC THUNDERR,6,2,/cgi-bin/showgame.cgi?EID=8098&size=255&round=1&GID=2001
17,8098,Division 4 X-Ball,Quarter-Finals,Jackpot,PR JESTERS,4,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=2001
18,8098,Division 4 X-Ball,Quarter-Finals,New York Payload ,Carolina Clutch Red,5,4,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=2002
19,8098,Division 4 X-Ball,Quarter-Finals,Immortal Kings,Noobies,4,3,/cgi-bin/showgame.cgi?EID=8098&size=255&round=2&GID=2003
